title,company,country,salary_avg,is_remote,skills_mentioned,skill
Data Analyst,PIXIE SERVICES FRANCE,France,,0,"sql, python, power bi, tableau, aws, azure, looker",AZURE
Data Analyst,PIXIE SERVICES FRANCE,France,,0,"sql, python, power bi, tableau, aws, azure, looker",LOOKER
Data Analyst,5 Degrés,France,50000.0,0,tableau,TABLEAU
Data Analyst,La Fosse,France,,0,power bi,POWER BI
Data analyst,CDISCOUNT,France,,0,tableau,TABLEAU
Data analyste informatique Sénior (IT) / Freelance,CAT-AMANIA,France,,0,tableau,TABLEAU
Data Analyst Power BI (F/H),Celad,France,40500.0,0,power bi,POWER BI
Data Analyst GCP,LINCOLN,France,,0,"sql, excel",SQL
Data Analyst GCP,LINCOLN,France,,0,"sql, excel",EXCEL
Senior Data Analyst,Faume,France,67500.0,0,"dbt, snowflake",DBT
Senior Data Analyst,Faume,France,67500.0,0,"dbt, snowflake",SNOWFLAKE
Alternance – Data Analyst,Paris School of Business,France,,0,excel,EXCEL
[alternance] data analyst - h/f,ATOL CONSEILS ET DEVELOPPEMENTS,France,,0,excel,EXCEL
Stage DATA ANALYST,Selha Group,France,,0,power bi,POWER BI
Data Analyst - Senior,Act Digital France,France,,0,spark,SPARK
POT8991 - Un Data analyste informatique Sur Massy (IT) / Freelance,Almatek,France,335.0,0,"r, sql, python, excel, tableau, looker",R
POT8991 - Un Data analyste informatique Sur Massy (IT) / Freelance,Almatek,France,335.0,0,"r, sql, python, excel, tableau, looker",SQL
POT8991 - Un Data analyste informatique Sur Massy (IT) / Freelance,Almatek,France,335.0,0,"r, sql, python, excel, tableau, looker",PYTHON
POT8991 - Un Data analyste informatique Sur Massy (IT) / Freelance,Almatek,France,335.0,0,"r, sql, python, excel, tableau, looker",EXCEL
POT8991 - Un Data analyste informatique Sur Massy (IT) / Freelance,Almatek,France,335.0,0,"r, sql, python, excel, tableau, looker",TABLEAU
POT8991 - Un Data analyste informatique Sur Massy (IT) / Freelance,Almatek,France,335.0,0,"r, sql, python, excel, tableau, looker",LOOKER
Alternance - Data Analyst (H/F) Alternance / Apprentissage H/F,Bloom Alternance,France,,0,tableau,TABLEAU
Data analyst F/H,VISIAN,France,45000.0,0,"power bi, tableau, looker",POWER BI
Data analyst F/H,VISIAN,France,45000.0,0,"power bi, tableau, looker",TABLEAU
Data analyst F/H,VISIAN,France,45000.0,0,"power bi, tableau, looker",LOOKER
DATA ANALYST (F/H),Expectra,France,,0,excel,EXCEL
DATA ANALYST F/H,Expectra,France,,0,excel,EXCEL
Data analyst F/H,MANPOWER FRANCE,France,40000.0,0,"sql, python",SQL
Data analyst F/H,MANPOWER FRANCE,France,40000.0,0,"sql, python",PYTHON
Data Analyst F/H,FinancePeople,France,34500.0,0,tableau,TABLEAU
Data Analyst F/H,COPERBEE,France,,0,power bi,POWER BI
Senior Product Data Analyst,TapNation,France,,0,excel,EXCEL
Data Analyst Sénior Montpellier,Free-Work,France,51000.0,0,tableau,TABLEAU
Data analyst F/H,MBDA,France,,0,tableau,TABLEAU
Data analyst F/H,MBDA,France,,0,tableau,TABLEAU
Data analyst F/H,MBDA,France,,0,tableau,TABLEAU
Data analyst F/H,MBDA,France,,0,tableau,TABLEAU
Data analyst F/H,MBDA,France,,0,tableau,TABLEAU
Data analyst F/H,MBDA,France,,0,tableau,TABLEAU
Data analyst F/H,Hays France,France,42500.0,0,tableau,TABLEAU
Consultant(e) Data Analyst,Okuden.,France,47500.0,0,"power bi, tableau, looker",POWER BI
Consultant(e) Data Analyst,Okuden.,France,47500.0,0,"power bi, tableau, looker",TABLEAU
Consultant(e) Data Analyst,Okuden.,France,47500.0,0,"power bi, tableau, looker",LOOKER
Data Analyst H/F,STEP UP,France,,0,excel,EXCEL
DATA ANALYST (H/F),L'industrie recrute,France,,0,excel,EXCEL
Alternant contrôleur de gestion/ business analyst,MBway Paris Sud,France,,0,power bi,POWER BI
Business Analyst (H/F) (CDI),MICHAEL PAGE,France,,0,r,R
Business Analyst technico-fonctionnel confirmé,AVA2I,France,42500.0,0,"sql, excel",SQL
Business Analyst technico-fonctionnel confirmé,AVA2I,France,42500.0,0,"sql, excel",EXCEL
Business analyst,UMAKE,France,45000.0,0,sql,SQL
BUSINESS ANALYST,Qualitest Group,France,,1,excel,EXCEL
Business Analyst,néosoft,France,,0,excel,EXCEL
Alternance - Assistant business analyst- Bac 4-5,MBway Vannes,France,,0,tableau,TABLEAU
Business Analyst Montpellier,Néo-Soft,France,,0,excel,EXCEL
Business Analyst Orléans,Néo-Soft,France,,0,excel,EXCEL
Business Analyst Bordeaux,Néo-Soft,France,,0,excel,EXCEL
Business Analyst PLM,Capgemini Engineering,France,,0,r,R
Business Analyst PLM,Capgemini Engineering,France,,0,r,R
Business Analyst PLM,Capgemini Engineering,France,,0,r,R
Apprentissage : Business Analyst,Stellantis,France,,0,excel,EXCEL
Business Analyst Limoges,Néo-Soft,France,,0,excel,EXCEL
Business Analyst Tours,Néo-Soft,France,,0,excel,EXCEL
STAGE : Business Intelligence analyst,Stellantis,France,,0,excel,EXCEL
Data Engineer F/H,CTS Corporate,France,50000.0,0,"sql, python",SQL
Data Engineer F/H,CTS Corporate,France,50000.0,0,"sql, python",PYTHON
Data Engineer F/H,CTS Corporate,France,45000.0,0,"sql, python",SQL
Data Engineer F/H,CTS Corporate,France,45000.0,0,"sql, python",PYTHON
Stage - eMobility Global Marketing - Business Intelligence,Schneider Electric,France,,0,excel,EXCEL
Financial Data Analyst (all genders),Commend International GmbH,Austria,,0,power bi,POWER BI
